Kecamatan,Jumlah Karyawan,Aset,Omset,Tahun Berdiri,Keterangan,,,,,,,,,,,,
Andir,-,-,12000000,2004,Mikro,,,,,,,,,,,,
Andir,2,3000000,4000000,2010,Mikro,,,,,,,,,,,,
Andir,-,8000000,15000000,2009,Mikro,,,,,,,,,,,,
Andir,2,10000000,9000000,2005,Mikro,,,,,,,,,,,,
Andir,2,10000000,-,2002,Mikro,,,,,,,,,,,,
Andir,2,1000000,6000000,2008,Mikro,,,,,,,,,,,,
Andir,-,3500000,4800000,2004,Mikro,,,,,,,,,,,,
Andir,-,500000,4320000,2011,Mikro,,,,,,,,,,,,
Andir,5,8000000,6000000,2007,Mikro,,,,,,,,,,,,
Andir,3,30000000,24000000,2007,Mikro,,,,,,,,,,,,
Andir,3,1500000,8000000,2012,Mikro,,,,,,,,,,,,
Andir,2,15000000,-,2004,Mikro,,,,,,,,,,,,
Andir,5,5000000,25000000,2014,Mikro,,,,,,,,,,,,
Andir,3,-,100000000,2012,Mikro,,,,,,,,,,,,
Andir,2,-,6000000,2013,Mikro,,,,,,,,,,,,
Andir,-,15000000,15000000,2011,Mikro,,,,,,,,,,,,
Andir,-,20000000,20000000,2000,Mikro,,,,,,,,,,,,
Andir,18,15000000,250000000,2009,Mikro,,,,,,,,,,,,
Andir,2,-,120000000,-,Mikro,,,,,,,,,,,,
Andir,6,-,150000000,2005,Mikro,,,,,,,,,,,,
Andir,-,-,50000000,2013,Mikro,,,,,,,,,,,,
Andir,-,11000000,48000000,2014,Mikro,,,,,,,,,,,,
Andir,1,15000000,50000000,2013,Mikro,,,,,,,,,,,,
Andir,1,20000000,200000000,2006,Mikro,,,,,,,,,,,,
Andir,-,-,-,2010,Mikro,,,,,,,,,,,,
Andir,114,200000000000,11000000000,1992,Menengah,,,,,,,,,,,,
Andir,11,1500000000,2000000000,-,Kecil,,,,,,,,,,,,
Andir,2,-,50000000,1999,Mikro,,,,,,,,,,,,
Andir,3,-,36000000,2013,Mikro,,,,,,,,,,,,
Andir,-,-,-,1999,Mikro,,,,,,,,,,,,
Andir,1,-,2000000,2015,Mikro,,,,,,,,,,,,
Andir,-,-,-,-,-,,,,,,,,,,,,
Andir,-,-,-,-,-,,,,,,,,,,,,
Andir,-,-,-,-,-,,,,,,,,,,,,
Andir,5,30000000,210000000,2014,-,,,,,,,,,,,,
Andir,-,-,15000000,2015,-,,,,,,,,,,,,
Andir,-,-,270000000,2015,-,,,,,,,,,,,,
Andir,2,-,-,2009,-,,,,,,,,,,,,
Andir,-,-,-,-,-,,,,,,,,,,,,
Andir,-,-,-,2014,-,,,,,,,,,,,,
Andir,15,250000000,500000000,2007,-,,,,,,,,,,,,
Andir,-,-,-,2017,-,,,,,,,,,,,,
Andir,-,-,12000000,-,-,,,,,,,,,,,,
Antapani,6,80000000,300000000,1999,Kecil,,,,,,,,,,,,
Antapani,0,-,288000000,2001,Mikro,,,,,,,,,,,,
Antapani,5,-,288000000,2004,Mikro,,,,,,,,,,,,
Antapani,1,5000000,216000000,1997,Mikro,,,,,,,,,,,,
Antapani,6,2000000,180000000,1995,Mikro,,,,,,,,,,,,
Antapani,0,15000000,180000000,2003,Mikro,,,,,,,,,,,,
Antapani,0,-,120000000,2005,Mikro,,,,,,,,,,,,
Antapani,0,-,108000000,2007,Mikro,,,,,,,,,,,,
Antapani,3,-,108000000,2007,Mikro,,,,,,,,,,,,
Antapani,1,-,90000000,2000,Mikro,,,,,,,,,,,,
