Kecamatan,Jumlah Karyawan,Aset,Omset,Lama Berdiri(Tahun),Kategori Usaha
Arcamanik,0,3000000.0,2400000.0,34.0,Mikro
Arcamanik,0,4000000.0,4200000.0,27.0,Mikro
Arcamanik,0,3000000.0,4200000.0,21.0,Mikro
Arcamanik,0,3000000.0,4200000.0,24.0,Mikro
Arcamanik,0,3000000.0,2400000.0,29.0,Mikro
Arcamanik,0,3000000.0,9000000.0,24.0,Mikro
Arcamanik,0,3000000.0,4200000.0,27.0,Mikro
Arcamanik,0,3000000.0,4200000.0,29.0,Mikro
Arcamanik,0,3000000.0,9000000.0,20.0,Mikro
Arcamanik,0,3000000.0,9000000.0,23.0,Mikro
Arcamanik,0,29500000.0,300000000.0,32.0,Mikro
Arcamanik,1,30000000.0,240000000.0,13.0,Mikro
Arcamanik,11,700000000.0,192000000.0,17.0,Menengah
Arcamanik,0,2000000.0,180000000.0,17.0,Mikro
Arcamanik,15,600000000.0,120000000.0,31.0,Menengah
Arcamanik,0,1000000.0,120000000.0,15.0,Mikro
Arcamanik,5,30000000.0,96000000.0,16.0,Mikro
Arcamanik,2,4500000.0,72000000.0,19.0,Mikro
Arcamanik,0,8000000.0,60000000.0,37.0,Mikro
Arcamanik,2,500000.0,60000000.0,35.0,Mikro
Arcamanik,0,6000000.0,60000000.0,21.0,Mikro
Arcamanik,1,7000000.0,42000000.0,13.0,Mikro
Arcamanik,0,7500000.0,36000000.0,13.0,Mikro
Arcamanik,0,3500000.0,36000000.0,11.0,Mikro
Arcamanik,0,3000000.0,30000000.0,12.0,Mikro
Arcamanik,0,3300000.0,24000000.0,14.0,Mikro
Arcamanik,0,700000.0,24000000.0,13.0,Mikro
Arcamanik,3,5000000.0,22200000.0,14.0,Mikro
Arcamanik,0,3000000.0,18000000.0,19.0,Mikro
Arcamanik,1,15000000.0,16800000.0,16.0,Mikro
Arcamanik,1,23000000.0,16800000.0,13.0,Mikro
Arcamanik,0,25000000.0,12000000.0,18.0,Mikro
Arcamanik,0,150000.0,5400000.0,26.0,Mikro
Arcamanik,0,500000000.0,1800000000.0,20.0,Kecil
Arcamanik,7,500000000.0,1200000000.0,36.0,Kecil
Arcamanik,2,39000000.0,720000000.0,12.0,Mikro
Arcamanik,6,349000000.0,360000000.0,20.0,Kecil
Arcamanik,0,15800000.0,360000000.0,21.0,Mikro
Arcamanik,5,40000000.0,240000000.0,16.0,Mikro
Arcamanik,3,5000000.0,85000000.0,14.0,Mikro
Arcamanik,7,75000000.0,120000000.0,20.0,Kecil
Arcamanik,1,5000000.0,10000000.0,10.0,Mikro
Arcamanik,3,30000000.0,48000000.0,13.0,Mikro
Arcamanik,1,8000000.0,120000000.0,9.0,Mikro
Arcamanik,1,2000000.0,10000000.0,8.0,Mikro
Arcamanik,25,0.0,0.0,15.0,Mikro
Arcamanik,10,100000000.0,15000000.0,15.0,Mikro
Arcamanik,10,100000000.0,15000000.0,15.0,Mikro
Arcamanik,4,10000000.0,300000000.0,6.0,Mikro
Arcamanik,3,15000000.0,60000000.0,10.0,Mikro
Arcamanik,6,200000000.0,1000000000.0,9.0,Kecil
Arcamanik,3,95000000.0,480000000.0,13.0,Kecil
Arcamanik,3,5000000.0,180000000.0,5.0,Mikro
Astanaanyar,3,3000000.0,9000000.0,19.0,Mikro
Astanaanyar,3,3000000.0,4200000.0,20.0,Mikro
Astanaanyar,2,3000000.0,2400000.0,22.0,Mikro
Astanaanyar,0,3000000.0,2400000.0,19.0,Mikro
Astanaanyar,0,3000000.0,2400000.0,17.0,Mikro
Astanaanyar,0,4000000.0,9000000.0,18.0,Mikro
Astanaanyar,0,4000000.0,9000000.0,27.0,Mikro
Astanaanyar,0,3000000.0,4200000.0,20.0,Mikro
Astanaanyar,0,3000000.0,4200000.0,24.0,Mikro
Astanaanyar,0,4000000.0,4200000.0,22.0,Mikro
Astanaanyar,0,4000000.0,4200000.0,23.0,Mikro
Astanaanyar,5,3000000.0,4200000.0,22.0,Mikro
Astanaanyar,5,4000000.0,4200000.0,20.0,Mikro
Astanaanyar,4,4000000.0,4200000.0,29.0,Mikro
Astanaanyar,0,3000000.0,4200000.0,39.0,Mikro
Astanaanyar,0,4000000.0,4200000.0,21.0,Mikro
Astanaanyar,5,4000000.0,9000000.0,28.0,Mikro
Astanaanyar,0,4000000.0,9000000.0,24.0,Mikro
Astanaanyar,2,4000000.0,4200000.0,19.0,Mikro
Astanaanyar,0,0.0,4200000.0,32.0,Mikro
Astanaanyar,0,3000000.0,9000000.0,24.0,Mikro
Astanaanyar,0,3000000.0,9000000.0,22.0,Mikro
Astanaanyar,2,4000000.0,9000000.0,39.0,Mikro
Astanaanyar,3,3000000.0,4200000.0,20.0,Mikro
Astanaanyar,5,3000000.0,4200000.0,19.0,Mikro
Astanaanyar,3,4000000.0,4200000.0,24.0,Mikro
Astanaanyar,0,3000000.0,4200000.0,20.0,Mikro
Astanaanyar,0,3000000.0,9000000.0,20.0,Mikro
Astanaanyar,0,3000000.0,9000000.0,20.0,Mikro
Astanaanyar,0,3000000.0,9000000.0,22.0,Mikro
Astanaanyar,0,3000000.0,9000000.0,24.0,Mikro
Astanaanyar,0,4000000.0,2400000.0,39.0,Mikro
Astanaanyar,0,3000000.0,0.0,24.0,Mikro
Astanaanyar,0,3000000.0,2400000.0,24.0,Mikro
Astanaanyar,0,4000000.0,2400000.0,24.0,Mikro
Astanaanyar,0,3000000.0,9000000.0,24.0,Mikro
Astanaanyar,0,4000000.0,2400000.0,27.0,Mikro
